"text","class"
"15 Pro ของผมไม่เจอปัญหาเครื่องร้อนแฮะ (ชาร์จร้อนน้อยกว่า i11 LN อีก) จะร้อนก็ตอนเล่นเกม (ArenaBrekout) ที่ร้อนจนสัมผัสได้ ซึ่งปกติ(ก็ปรับภาพอัลตร้าขนาดนั้น) แบตก็ลดตามปกติตามการใช้งาน","0"
"เร็ว แรง ก็ย่อมมากับ รั้อน","0"
"ผมปกตินะ เจอตอนแรกๆ ช่วงวันแรก ผ่านมาก็ทั่วๆไป รู้สึกว่าแบตดีกว่า 14PM อีก","0"
"พอมัน compatible กับอย่างอื่นได้ มันใช้ได้ง่ายและหลากหลายมากขึ้นเลยครับ","0"
"เรื่องเกมคอนโซล ถือว่าทำได้ดีมากๆแล้ว ในคุณภาพระดับนี้ ภาพ720p fram30 มีray tracing/up scale เอาเกมคอนโซลมาเล่นบนมือถือไม่ใช้แอพช่วย วัดได้หลายอย่างครับ อย่าลืมว่าชิปมือถือไม่เหมือนการ์ดจอคอมเป็นธรรมดาที่มือถือจะพัฒนาช้ากว่า รอบนี้ถือเป็นจุดเปลี่ยนใหญ่ให้สมาร์ทโฟนหลายรุ่น","0"
"ชอบๆๆ อยากได้มากก","0"
"ขอบจอที่โคตรบางงงงงงง เทพจริง","0"
"สวยถูกใจผมมากจัดมาละครับออกจากช้อปไปติดฟิล์มกระจกของเอเบิลเม็นรุ่นใหม่กระจกคริสตัสทันที กันกระแทกเยี่ยมมากๆ คุณภาพคุ้มราคาครับได้รับประกัน 5 ปี","0"
"เป็นรุ่นใหม่ที่น่าซื้อมาก","0"
"ชอบความต่อเข้าจอดูเน็ตฟลิกอะ เริ่ดเกิน","0"
"สวยจัดครับ","0"
"แบบนี้รุ่นเริ่มต้นขายดีแน่นอน เพราะอุปกรณ์สามารถ third party ได้ ดีงามจริงๆ","0"
"สีสวย หน้าตาดูดีจริงค่ะ แต่สเปค หลายๆ ตัวของแอนดรอยด์ไปไกลกว่าเยอะ จริงๆ ค่ะ","0"
"หนูผู้เป็นสาวกแอนดรอยด์เช่นเดียวกันกับพี่ณดุจหนูก็ว่า IP15 สีสวยจริงๆค่ะ สวยแบบอยากได้เลย จากใจคนไม่เคยใช้ Iphone","0"
"เรื่องสีนี่สุดยอดจริงๆ สาวก ซซ หวั่นไหวเพราะสีเช่นกันค่ะ แล้วขนาดไม่ใช่คนใช้ของสีชมพู ยังอยากได้สีชมพูเลย","0"
"ของใหม่ยังไงก็ดึงดูดกว่า","0"
"ไปจับตัวจริงมา สีสวยมาก ประกอบกับวัสดุที่ดูมีคุณภาพ มันละมุนสุดๆ","0"
"ไอโฟนก็ยังเป็นไอโฟน","0"
"สีมันสวยค่ะ ตอนนี้ใช้ 13 ธรรมดาสีชมพูอยู่ ทั้งที่ตอนนั้นจะซื้อ 13 pro ก็ได้ แต่ไม่เอาเพราะไม่ชอบสี
อีกอย่าง ตัว Pro มันหนักด้วย ถือแล้วปวดข้อมือค่ะ","0"
"บอกตรงๆนะผมใช้มาถ่ายยังไงก็โอเคคือแบบว่าแทบทุกคนเล่นจ้องภาพกันจริงท่าเปรียบแอนดรอยแพงๆมันก็เป็น5555นักรีวิวติ่งทุกรุ่นทุกยี่ห้ออย่าว่าผมนะครับเพราผมก็ใช้14pmอมเหลืองมันก้ต้องดูด้วยถ่ายตรงไหนส่วนตัวผมชอบกล่องไอโฟนครับ","0"
"เราจัดมาแล้วค่ะเดิน walk in เข้าไปดูสีจริงเช็คอะไรนิดหน่อยโอเคก็ซื้อเลย รุ่นธรรมดา/พลัสของมีเยอะ","0"
"จัดมาแล้วค่ะกับน้องi15สีเขียว​ น่ารักมากกกกกก","0"
"ไป 15 ดีแล้วครับถ้าไม่เอาดูหรู กับเสี่ยงเรื่องจอเสีย","0"
"เอาจริงมันแพงเพราะชอฟแวร์เขา  คนชอบบ่นแพงแค่ก็ไปยืนไข่แฉะเป็นหนึ้เพราะมัน","0"
"สำหรับคนที่บ่นเรื่องความร้อนมันคงปฏิเสธไม่ได้อยู่แล้ว และเชื่อว่าเค้าไม่ได้เอาเรื่องนี้มาเป็นจุดขายหลักแต่ทำขึ้นมาเพื่อความก้าวหน้าทางเทคโนโลยีต่างหาก จะให้เพิ่มแรม เพิ่มกล้อง เพิ่มความจุไปเรื่อยไปมันก็คงจะไม่มีความเปลี่ยนแปลง","0"
"คิดว่าคงใช้เป็น gimmick ให้เครื่องเฉยๆ ไม่ได้กะเอามาให้คนใช้เล่นจริงๆจังๆแน่นอน ยังไงก็ไม่มีทางทำได้ตามสเป็คกระดาษ เพราะความร้อนคือปัญหาหลัก
แต่เครื่องสเป็คแรงขึ้นก็ถือว่าเป็นเรื่องดีแหละ","0"
"Black Titanium สวยมากครับ ติดฟิล์มกันรอยรอบเครื่อง ใส่เคสใส ออกมาดีเลยครับ","0"
"ไฟฉายดีมากเลยครับ เอาไว้ส่องคอ คนไข้ ไม่ต้องสัมผัสหน้าจอ ผ่านถุงมือ ที่รูดหน้าจอไม่ค่อยติด","0"
"แค่รู้ว่าเล่นเกม AAA ได้ก็ว้าวแล้วครับ รอดูเลยว่าของจริงจะทำได้ขนาดไหน แต่ว่าคงไม่มีใครซื้อเพราะอยากเล่นเกมหรอกมั้งครับ เพราะในราคาเท่านี้คุณได้ P5 พร้อมจอ 4k หรือจะเอา PC มาเล่นเกมก็ยังได้ หรือจะเอาเครื่องเกมพกพาราคานี้ยังเหลือทอนไว้ซื้อเกมด้วย😂😂","0"
"ผมกลับชอบ การที่มีขอบข้างๆนิดนึง เอาไว้จับ ไม่งั้นมือจะบังบางส่วนของจอ","0"
"ดีทุกอย่างเลยครับ 15ออกมารอบนี้ ชอบกล้องมากกก","0"
"แล้วซัมซุงอะไรพวกนี้ที่ไม่ใช่มือถือเกมมิ่งมีตัวไหนทำได้แบบนี้บ้างไหม ถ้ามองว่าโม้แต่ถ้ามองอีกมุมจะเห็นว่านี่มันคือความก้าวหน้านะ เพราะหมายความว่าเขาเอาเทคโนโลยีไปพัฒนาเพิ่มได้อีกหลากหลาย อย่างใน ipad MacBook macpro แว่นตา นาฬิกา สารพัด รวมไปถึงมือถือในอนาคต ที่อาจไม่ใช่แค่ ray เท่านั้น","0"
"พกไปเล่นได้ ยิ่งคนเดินทางบ่อยอย่างผมนี่ชอบเลย🎉","0"
"เอาตรงแบบไม่อคติ รุุ่นนี้ผมว่าน่าจะขายดีครับ คนใช้แอนดอรย์น่าจะหันมาใช้เยอะ ทั้งๆที่ ต้องบอกว่าเทคโนโลยี ช่างล้าสมัยมากกก 😂 วัสดุไทเท เค้าก็ใช้ผลิตมือถือมา 20กว่าปีแล้ว (8850)  แต่ต้องยอมรับว่า น่าสนใจสำหรับคนใช้มือถือแอนดอรย์ครับ","0"
"ไทเทเนียม ที่บอกเกรด5 มันธรรมดามากๆ พอไปอ่านไปศึกษาเกรดไทเทเนียมไม่ได้เด่นเลย แค่มันว้าวตรงใช้ครั้งแรกนี้แหละครับ แต่สวยจริงๆนะ อยากได้","0"
"ไปดูการเทสเกมของช่องต่างประเทศมารู้สึกว่าทำได้ดีมากๆเลยนะแค่เฟรมประมาณ30กับภาพไม่ชัดประมาณ720p สำหรับคนที่ไม่เสพภาพน่าจะฟินมากๆแต่ปัญหาคือเล่นไปซักพักร้อน อาจต้องหาพัดลมมาติด","0"
"ถ้าเล่นเกมส์ในสตรีมได้ ลื่นๆ 50k ก็คุ้ม จะกลายเป็นโทรศัพที่พกพาได้และเล่นเกมได้ ถ่ายคลิปตัดต่อได้ คุ้ม","0"
"แบต โอเคเลยนะ  ใช้ได้ยาวนานมาก  ผมพึ่งย้ายมาจากที่ใช้ i phone 8","0"
"ยุ่งเลย ถ้าผลิตภัณฑ์ของAppleเล่นเกมส์กราฟฟิกสูงได้คือ วงการPC Console และ Handheld สะเทือนแน่ๆ มันจะกลายเป็นกินรวบตลาดไปเลย คนที่เลือกอุปกรณ์ที่เอาทำงานก็คือต้องเลือกApple เพราะมีความคุ้มค่าสูง","0"
"CPU Apple A17 ยอมรับว่าแรงจริงๆดูสเปคแล้วตกใจ แรงแซงคอมไปแล้ว","0"
"สุดยอดเลยครับ สเปคยิ่งใหญ่มาก USB C แหนะ แถมเบาลงอีก แถมซูมไกลได้ด้วย !!! ล้ำสมัยมาก!!","0"
"ส่วนตัวคิดว่าเพียงพอมากๆ ที่ไม่ชอบอย่างนึงคือการวางกล้องเฉียงๆมันขัดตาไม่ชอบเลย","0"
"แอปเปิ้ลคงเตรียมไว้รองรับ​ เล่นเกมระบบสตีมบนPS5 มาเล่นบนมือถือ​ รุ่นเก่าเล่นได้แต่รุ่นใหม่เล่นได้ดีกว่า","0"
"สีBlack titanium คือสุดอ่ะชอบอะไรที่มันดำๆมืดๆดาร์คๆแบบนี้มากๆ","0"
"iPhone 15 Plus สีดำ สวยมาก นี่ว่าแอปเปิ้ลทำสีมาสวยกว่า Pro Titanium อีกนะ ดำหม่น ๆ ความรู้สึกสัมผัสดีมาก จับติดมือ ไม่ลื่น ใครไม่ซีเรียสว่าต้องเป็นไทเทเนียม กับกล้อง Pro คือแนะนำเลย","0"
"สุดยอดเลยแบบนี้ ยิ่งใช้สาย usb  ต่อออกจอใหญ่ได้ pc ก็ไม่ต้องใช้แล้ว","0"
"ตอนแรกจะซื้อ 15 แต่พอดูแล้วอยากได้ 15 Pro เลย 55555","0"
"โอเค ไม่ต้องเปลี่ยนไปใช้ s23 ล่ะ ซื้อ 15PM เหมือนเดิม จบ","0"
"ผมนี่ข้ามเรื่องไทเทเนี่ยมไปเลย ไม่ว้าวซักนิดเพราะยังไงก็ตัองใส่เคสอยู่แล้ว แต่ฟังชั่น คือยังไงก็ต้องเปลี่ยน","0"
"ชอบมากครับ เปลี่ยนจาก 11PM มา ลื่นมากแรงมาก เบากว่า แตนเลสเยอะเรย ❤️","0"
"ยอดขายคือคำตอบจริงๆ แต่เปิดจองไม่กี่วิ เต็มแล้วเหลือจะเชื่อ 😆 ใครบอกของไม่ดีไม่ว้าว นั้นอาจสำหรับคุณแต่อีกหลายๆคนมันว้างสำหรับเค้า","0"
"เรื่องขอบที่บางลง ส่วนตัวคิดว่ามันค่อนข้างชัดเจนเลยนะ ใส่เคสไปแทบไม่เหลือขอบแล้ว","0"
"เหยยยย ซูมสุดดีเทลกับสีก็ยังสวยอยู่นะ","0"
"หลังซูมโหดอยู่นะ ถือว่าคม","0"
"สุดยอดอยากได้มากแต่จองไม่ทัน จริงๆอยากให้จอใหญ่มากกว่านี้หรือพอๆ โน้ตซัมซุง","0"
"ตลาดเกมใหญ่ที่สุด ถือว่าไอโฟนคิดเดินหมากดีนะ อนาคตต่อจากนี้ เขาเน้นเรื่องเกมขึ้นทุกๆปีแน่นอน ก็ให้พวกแอนดรอย ขิงไอโฟนด้วยเรื่องกล้องซูมต่อไป จะรั่วววววว นี่นะไปดูคอนเสิร์ตซูมได้ยันหน้าศิลปินนนน ...จ่ะะะะ แต่ผมพูดเลย การเดินหมากของไอโฟนที่จะเจาะตลาดเกมนั้น เหนือชั้นกว่าเยอะ ผมคิดว่าอีก4-5gen ต่อไปของไอโฟน จะเหมือนแมคพกพา PCพกพา  🤣🤣","0"
"เข้าใจว่าทำถึงแพง งานปราณีตมากค่ะ เป็นครั้งแรกที่เริ่มสนใจ Iphone มันเริศจริงๆ","0"
"กล้องโหดมากกกก","0"
"แรงกว่า ps4","0"
"อยากได้15โปรแม็กมากกกก ว่าจะจัดช่วงปีใหม่อยู่แต่ไม่รู้จะได้ไหม 5555","0"
"❤ ความอยากได้นั้นมี อยู่เรื่อยๆ😀","0"
"สายคอนเสิร์ต  มือสั่นเลยค่ะ","0"
"อยากได้เพราะเบานี่แหละ 14pm คือ ปวดข้อมือมาก","0"
"สายทำคอนเท้นน่าจะถูกใจกล้องมาก","0"
"ฉันจะรอ 16 ออกเพื่อจะซื้อ 15 pro ในราคาลด ไทเทเนียมคือดีมากน่าสนใจตรงน้ำหนัก","0"
"ชอบมากครับ","0"
"ถึงเวลาเปลี่ยนรุ่นแล้วววววว","0"
"โอเค ได้เวลาจาก 12 Pro Max แล้วครับ","0"
"Genshin ปัญหาอยู่ที่ 128TB ตัวเกมมากกว่านะ 😂","0"
"ดูแล้ว อยากได้เลย โอ๊ยยยย","0"
"ดีงามมากๆ","0"
"Pro หรือ promax ดีนะ","0"
"ดูจนจบคือต้องซื้อแล้วล่ะ อะไรจะดีขนาดนี้","0"
"จึ้งกล้องมาก5555 ทำไมชั้นไม่รอ แค่ปีเดียวเองงง555555","0"
"เหี้ยยย ใช้ 14PM อยู่ ไม่ได้อยากซื้อใหม่เลยนะจนเห็นโพสต์นี้","0"
"สมกับเป็นแบรนด์มือถือที่ดีที่สุดในโลก","0"
"ใครเล่นเกมReveletion M จะรู้เลยว่าภาพในเกมมือถือสมัยนี้คือไปไกลมากๆ แต่ติดที่ว่ายังไม่สามารถทำแมพที่ใหญ่เท่าgtaได้เลย","0"
"ทำได้ขนาดนี้ อีกหน่อยเอามาต่อจอนอก ทำ vfxได้ละมั๊ง","0"
"Apple ทำดี ฝั่งพีซีชอบกั๊ก พัฒนาช้า อนาคต คนจะเล่นเกมในมือถือกันหมด","0"
"เลิศมากกกก","0"
"สีดำสวยมากกกกกกกก","0"
"สวยจัดครับ","0"
"กิเลสกำลังมา ตัณหากำลังเกิด เงินในกระเป๋า ก็ระเบิดหมดสิคร้าบบบ","0"
"แรงมาก","0"
"อยากได้แบบตะโกน!!!","0"
"เดี๋ยวจะซื้อเอามาเล่นฟรีฟายนี่แหล่ะ","0"
"ตัดสินใจไม่ผิดที่เอา White titanium สวยยยย สวยเหมือนเดิมเลย","0"
"อยากได้จุงเบย","0"
"สีดำสวย","0"
"ชอบขอบเครื่องของ Iphone 15 Pro Max มากก จับแล้วรู้สึกดี ฟินสุดๆ","0"
"15 ธรรมดาสีดำ แค่นี้ก็โดนใจเราแล้วค่ะ เพราะเกมก็ไม่เล่น ใช้งานทั่วไป คุยไลน์ เล่นเฟส รูปถ่ายบ้าง 😂😂","0"
"“ สู้ PC หรือ console gamer ไม่ได้หรอก “ แหง หล่ะครับ แต่….อย่าลืมนะครับ เล่นได้ทุกที่ เล่นได้เกือบทั้งวัน(ที่มีเวลาและแบตเตอรี่) ดูหนัง I-MAX มันดีกว่า ดู Netflix ใน iPhone อยู่แล้ว แต่ ถามจริง คุณอยู่ใน platform ไหนมากกว่ากัน PC หรือ Consloe กำลังโดน disrupt แบบรุนแรง ถ้าไม่ปรับตัว หรือเข้าร่วม กับ portable device ก็เตรียมตัวโดนแย่งส่วนแบ่งมหาศาลได้เลย","0"
"สวย","0"
"สวยๆๆ","0"
"ตอบโจทย์ สะดวกขึ้น","0"
"ส่วนที่ชอบกล้อง iPhone มากกว่า คือความที่ถ่ายออกมาเป็นสีธรรมชาติที่สุดนี่แหละ ชอบความเรียล ถ้าหน้าดำ เดี๋ยวเอาไปแต่งเอง 555","0"
"ห่วยแค้ไหน ก็ซื้ออ่ะ 5555","0"
"ดูช่อง ตปท ไอโฟนรุ่นปัจจุบันตัดขอบผมสวยขึ้นมากไม่หลอกตา เอไอดูฉลาดขึ้น","0"
"ใบไม้สวยมากกกกกกกกกกก ตอนแรกเฉยๆ ตอนนี้หวั่นไหวละเพราะถ่ายใบไม้สวย","0"
"ต้องบอกเลยว่า Portrait Mode นางเก่งกว่าเดิมจริง ๆ นะ ช่วงหลัง ๆ เราก็ไม่ได้ถ่าย Portrait Mode ละในไอโฟน แต่ตัวนี้บอกเลยว่า คุณอาจจะชอบ Portrait Mode กว่าเดิม","0"
"มี error ซอกนิ้ว ซอกกระเป๋าบ้าง แต่รวมๆ คือละมุนมาก","0"
"หลังจากเมื่อวานไปต่อเเถวมาตั้งนาน5555 เราก็ได้อันนี้มา จะบอกว่าสีขาวสวยมากๆ ดูเป็นสีขาวที่พรีเมี่ยม คือเราใส่เคสใสแล้วยังรู้สึกถึงความสวย แบบมันคือสีขาวม่นๆแบบพอดี ถูกใจเราสุดๆๆ","0"
"เนียนขึ้นมาก เหมือนถ่ายจากกล้อง","0"
"ในที่สุดก็กดได้ซะที เป็นการเสียตังที่แสนมีความสุข","0"
"เป็นรอยนิ้ว คราบง่าย แต่ชอบกว่าขอบเงาๆ แบบมือถือจีนราคาประหยัด กับเป็นเรื่อง cosmetic ที่ user > 90% ใส่เคสอยู่แล้ว","0"
"โอเค ยอมมม กล้อง Portrait 5X ดีมากกก ให้ iPhone 15 Pro Max อันดับสอง รองจาก OPPO Find X6 Pro","0"
"เมื่อก่อน iPhone คือ edge detection ห่วยมาก แต่อันนี้คือดี เก็บรายละเอียดเส้นผมเว่อมาก","0"
"ที่ซื้อ 15 เพราะ Type-C เท่านั้นเลยครับ มันสะดวกมากๆ สามารถใช้อุปกรณ์ที่มีเดิมร่วมกับ macbook ipad รวมถึงค่ายอื่นได้เลย ลาขาดกันสักทีพอร์ตโบราณ lightning เคยใช้ android แล้วมันไม่สะดวกเลยและยุ่งยากเวลาจะเชื่อมต่อหรือทำงานร่วมกับ macbook ipad","0"
"กล้องถ่ายได้สวยขึ้นอยู่นะ  5555","0"
"ทำให้หนูอยากซื้อ Pro Max ไปอีกกก ทั้งๆที่ปกติชอบ Pro ธรรมดา","0"
"ก็ไม่มีปัญหาอะไรไม่ร้อนเลย ดีกว่า 14 Pro Max อีก","0"
"iPhone ถ่ายรูป ถ่ายวีดีโอ ชัดลื่นทุกแอป","0"
"จริง 15 Plus ไม่มีรอยมือ และผิวสัมผัสดีมาก","0"
"ของผม15 pro max เล่นเกมไม่ร้อนเลยครับ เล่นพวก พับจีได้ยาวๆเลไม่มีปัญหาเฟรมเรทหรือเครื่องร้อนเลยครับ","0"
"สี Blue สวยดี จองถูกสีละ","0"
"ตอนแรกรูปจะดู over exposure อยู่แหละ แต่พอถ่ายออกมา ผิวโอเคเลยยย อันนี้ยืนยันว่าดีว่า iPhone 14 Pro Max 300%","0"
"ผมว่าจะไม่ซื้อเพราะใช้ 12 pro max อยู่ ตอนนี้จะอยากซื้อละคับเนี้ยย 555","0"
"ทุกวันนี้ใช้ iphone เพราะชอบ ios ส่วนตัวเครื่องคิดว่ามันดีมากๆมาตั้งแต่รุ่นเก่าๆแล้วเลยไม่ได้สนใจเวลาเปิดตัวเท่าไหร่ อยากซื้อใหม่ปีไหน ก็ซื้อรุ่นปีนั้นแหละ","0"
"เป็นครั้งแรกที่อยากได้ รุ่น pro ก่อนหน้านี้รู้สึกว่าแพงและไม่คุ้ม ตอนนี้อยากได้ 15 pro มากกกกก","0"
"เห่ย!!! ไอโฟน 15 มาแล้ว สวยขึ้นเหมือนเดิมเลย","0"
"ไม่เคยอยากได้Iphone จนกระทั่งทำจากไทเท สายEDCแบบผมตาลุกวาวเลย ประสิทธิภาพใช้ไม่ถึงหรอก แต่อยากได้เพราะไทเท","0"
"Iphone 15 pro max เบามากกก ของจริงเบามากๆๆ เบาจนตกใจ เบาแบบอี 14 ในมือของกูคือหนักมากไปเลย55555 ใครลังเลอยู่ว่าจะซื้ออะไรดี เชียร์ pro max นะ","0"
"สีไทเทเนี่ยมสวยมากกกกก ตาแตกกกกกกกกก","0"
"จะซื้อเพราะเครื่องเบานี่ล่ะ ส่วนมากใช้มือถือทำงาน 14 pro maxคือปวดมือจริง","0"
"แบต iPhone 15 Pro Max ใช้งานทั่วไป ถ่ายรูป เล่นทวิต ไถตต ไอจี อึดกว่า 14 Pro Max แบบสุด ๆ","0"
"ที่ซื้อ 15 เพราะ Type-C เท่านั้นเลยครับ มันสะดวกมากๆ สามารถใช้อุปกรณ์ที่มีเดิมร่วมกับ macbook ipad รวมถึงค่ายอื่นได้เลย ลาขาดกันสักทีพอร์ตโบราณ lightning เคยใช้ android แล้วมันไม่สะดวกเลยและยุ่งยากเวลาจะเชื่อมต่อหรือทำงานร่วมกับ macbook ipad","0"
"น่าซื้อมาก จากใจคนใช้ไอโฟน11","0"
"ผมซื้อเเน่นอน 15 pro ผมขอใช้ 14 pro เบื่อก่อน5555เดี๋ยวเอาไปเทินเอา","0"
"หลงรักเสียงลำโพงไอโฟนมาก","0"
"เออ กล้อง iPhone 15 Pro Max อะ พอได้ลองแบบ HEIF 24 mp เทียบกับ HEIF 48 mp เห็นเลยว่าต่างกันแบบที่ Apple บอก ไฟล์ 24 mp จัดการแสง low light ได้ดีกว่า","0"
"แหม แต่ละสี เห็นแล้วเกิดกิเลส😂😂😂","0"
"สีชมพู ถูกใจสุดๆ","0"
"ไม่ร้อนนะ 15 pro max ผมใช้มา 2 อาทิตย์ละ ฟังหูไว้หูนะ","0"
"ก็ไม่ร้อนนะแก เราก็ใช้ไปชารต์ไป ทั้งวัน  15 pm","0"
"จัดมาแล้วสีสวยถูกใจ พอได้รับเครื่องรีบไปติดฟิล์มกระจกของเอเบิลเม็นรุ่นใหม่กระจกคริสตัสเลย มีรับประกัน 5 ปี แถมใส่ไ้ทุกเคสไม่ดันฟิล์มด้วยเริ่ด","0"
"ผมเปลี่ยนจาก14pm มา15pm ใช้งานทั่วไปก็ไม่ร้อยเลยครับถ้าเทียบกับตอน14pmใช้ทั่วไปอุ่นๆร้อนง่าย","0"
"ใครบอกร้อนง่ายคืนเครื่องอะไรมั่วทั้งนั้นผมใช้อยู่เป็นเกมแต่่ผมใส่เคสนะไม่เห็นจะเเลคอะไรเลย","0"
"เหตุผลที่ยอมซื้อไอโฟนเพราะต้องการความหรูของตัวมือถือและความเป็นiphone","0"
"สีไอโฟน 15 รุ่นธรรมดาตัวจริงโคตรสวยยยยยยยยยยย","0"
"สตีฟจ๊อบน่าจะปลิ้มกับดีไซน์ iphone รอบนี้นะ เพราะมันดูสวยมากจริงๆ ทั้งๆที่ดีไซน์แทบจะเหมือนเดิม เพียงแค่เปลี่ยนมาใช้เป็นวัสดุไทเทเนียม และปรับให้ขอบเครื่องมนขึ้น(แอบหนาขึ้นนิดนึง) และลดความกว้าง ความสูงอย่างล่ะนิดหน่อย ทำให้ตัวเครื่องมันดูสมมาตรมากกว่ารุ่นที่แล้ว อีกเรื่องคือขอบจอที่บางลง โดยเฉพาะ 15 pro มันบางกว่ารุ่น 14 pro แบบชัดเจน มันทำให้ไดนามิกไอแลนด์ดูมีเสน่ห์ขึ้น จากเมื่อก่อนเห็นแล้วขัดตา ตอนนียิ่งดูรีวิวยิ่งอยากเสียเงินจริงๆเลย","0"
"ไทเทเนียมธรรมชาติ กับ ไทเทเนียมน้ำเงิน จับเครื่องจริงสวยมาก เลือกไม่ถูกเลย","0"
"ชอบสีขาวมาก ตอนกดจองไม่คิดเลย แต่พอเห็นรีวิวนี้ ชอบขึ้นไปอีกเป็นสีขาวที่ไม่สว่างมาก ผช. ยิ่งใช้งานได้ขึ้นอีก เพราะส่วนมาก ผญ. จะใช้สีนี้เยอะมาก อยากจับตัวจริงแล้ววตอนนี้5555","0"
"ดีเทลอื่นๆ เช่น ขอบจอเล็กลง วัสดุเปลี่ยนเป็น Titanium รวมๆ แล้วทำให้เครื่องดูมีเสน่ห์มาก","0"
"สำหรับผม ผมชอบสีไทเทเนียมธรรมชาติครับ สวยม๊ากกกก😍😍","0"
"ราคาถูกจับต้องได้ สวยมากครับ","0"
"ไอโฟน 15 ธรรมดาสีดำสวยอะ","0"
"ว๊าววว ไอโฟน15ออกใหม่สวยเหมือนเดิมเลยค่ะ ถถถถถถ","0"
"วันนี้ไปลองจับไอโฟน 15 มาแยะ สีฟ้าของ 15 รุ่นธรรมดาสวยมาก ส่วนพวกรุ่น pro ฉันชอบสีเนเชอรัลไทเทเนียม","0"
"ลองใช้ iphone 15 Pro Max มา 2 วัน น้ำหนักเบากว่า i14 ชัดเจน ใช้งานเร็วและลื่นกว่าเดิมเยอะ ลำโพงเสียงคมชัดกว่าเดิม ชาร์ตไฟเต็มเร็ว","0"
"ตามหลักมันแยกกับระหว่างโหลดกับแหล่งจ่าย ไม่ว่าแหล่งจ่ายจะจ่ายได้มากแค่ไหน แต่โหลดรับได้แค่ไหนมันก็จ่ายแค่นั้น ถ้าตามที่อ้างเป็นจริงไม่ต้องห่วงเครื่องร้อนครับ ข้ามไปห่วงเรื่องแบตระเบิดได้เลย","0"
"ไอโฟน15เครื่องเล็กและเบามาก ๆจนไม่คาดคิดว่ามันขนาดจอเท่าไอโฟน11","0"
"ผมซื้อมาถ่ายสตอรี่ไอจี ต้องรุ่นนี้จริงๆ ลองไปใช้รุ่นอื่นแล้วภาพมันไม่คมชัดเท่ารุ่นนี้","0"
"สีไทเทเนี่ยมขาว ฝาหลังจะมีความอมเหลืองนิดๆคล้ายสีไข่มุก สวยมากๆครับ แต่ตอนกดจองเลือกสีธรรมชาติเพราะเห็นว่าเป็นสีใหม่","0"
"เอ๋ นี่ก็ 15 Pro Max ก็ไม่ร้อนนะ","0"
"ของผมร้อนตอนใช้กล้องกลางแจ้ง ส่วนเล่น ROV ก็ร้อนนะแต่ไม่มาก ไม่ได้ร้อนแปลก ๆ อะ","0"
"ของผม 15 pro max ยังไม่เจอปัญหาความร้อน หรือแบตหมดเร็ว","0"
"ชื่นชมในความพยายามรีวิวหาจุดเด่นของ iphone มานำเสนอครับ USB-C หรือ ซูม 5 เท่าอะไรแบบนี้ คือ .. ยินดีที่ apple มาถึงจุดนี้ได้สักทีครับ","0"
"แล้วแต่คนสะดวก ช่อง USB C สำหรับผมคุ้มค่าพอที่จะซื้อ ถ้าต้องเปลี่ยนรุ่น แค่นั้น","0"
